Pmid	Fbid	All_synonym	Confidence
28520736	FBgn0002973	NUMB	0.9683671
28520736	FBgn0262451	BANTAM	0.9418013
28520736	FBgn0039016	DCR-1|DICER-1	0.8520752
28520736	FBgn0262656	DMYC|C-MYC|CMYC	0.77538055
24945799	FBgn0086680	VVL	0.9933924
24945799	FBgn0001320	KNI	0.9945766
24945799	FBgn0263490	MLD	0.9902623
24945799	FBgn0013323	PTTH	0.9528308
24945799	FBgn0004959	PHANTOM	0.9265035
24945799	FBgn0000449	DIB|DISEMBODIED	0.9730136
24945799	FBgn0262112	SRO|SHROUD	0.92302823
24945799	FBgn0003486	SPO|SPOOK	0.9345062
24945799	FBgn0086917	SPOK	0.9786991
24945799	FBgn0003388	SHADE	0.97077686
24945799	FBgn0015781	REDUCTASE	0.928935
24945799	FBgn0001078	ΒFTZ-F1	0.9900011
24945799	FBgn0010328	WOC|WITHOUT CHILDREN	0.99038506
28414802	FBgn0267978	AP	0.8645764
28414802	FBgn0001138	GRN	0.9772421
28414802	FBgn0023091	DIMM	0.9236411
28414802	FBgn0259211	GRH|GRAINY HEAD	0.94974905
28414802	FBgn0001325	KR|KRUPPEL	0.91764814
28414802	FBgn0004878	CASTOR	0.95105356
28414802	FBgn0001180	HUNCHBACK	0.85423726
28414802	FBgn0085424	NUBBIN	0.87847686
28414802	FBgn0004394	PDM2	0.85278517
28414802	FBgn0000611	EXD	0.9663227
28414802	FBgn0011278	LBE	0.95520085
28414802	FBgn0001235	HTH	0.9340633
