Pmid	Fbid	All_synonym	Confidence
28520736	FBgn0002973	NUMB	0.9822729
28520736	FBgn0262451	BANTAM	0.8767541
28520736	FBgn0262656	DMYC	0.81358916
28520736	FBgn0030674	HUWE1	0.95399004
24945799	FBgn0086680	VVL	0.861779
24945799	FBgn0001320	KNI	0.94003993
24945799	FBgn0000449	DIB	0.9515678
24945799	FBgn0086917	SPOK	0.97908086
24945799	FBgn0283451	BR-Z4	0.8708466
24945799	FBgn0000568	E75B	0.92584383
24945799	FBgn0024320	NPC1A	0.96757853
24945799	FBgn0001168	HAIRY	0.9663154
28414802	FBgn0267978	AP	0.9857653
28414802	FBgn0035092	NPLP1	0.9820141
28414802	FBgn0000320	EYA	0.9189494
28414802	FBgn0023091	DIMM	0.9845881
28414802	FBgn0001089	GAL|Β-GAL	0.9829652
