Pmid	Fbid	Synonym	Paragraph
28520736	FBgn0002973	NUMB	Stem cells are functional units in the development, maintenance, and regeneration of tissues in multicellular organisms. Defects in stem cell regulation can compromise tissue homeostasis and result in proliferative or degenerative diseases. Our understanding of the molecular and cellular mechanisms regulating the in vivo behavior of stem cells is still incomplete. The Drosophila central nervous system neural stem cells called neuroblasts have offered an excellent model system for uncovering key mechanisms and player involved in stem cell regulation. Previous genetic studies have uncovered the evolutionarily conserved Numb-N signaling pathway that regulates the self-renewal vs. differentiation choices of the cell fates of NSCs during their asymmetric division. Our understanding of how Numb-N signaling regulates NSC fate is still rudimentary. Recent studies have implicated the involvement of microRNAs in stem cell regulation in both mammalian and Drosophila systems. But the molecular mechanism and logic of miRNA action remain to be delineated. In this study we show that the bantam microRNA is a direct transcriptional target of the N signaling pathway, and that bantam feedback regulates N by negatively regulating the expression of Numb, an inhibitor of N. This feedback regulation of N helps maintain the robustness of NSC fate. We further show that bantam also impinges on a Numb-Myc axis of cell growth regulation, apparently in a N-independent manner. Together, our results highlight the importance of both transcriptional and translational control mechanisms in NSC regulation by the N signaling network. These findings have important implication for our understanding of the basic biology of NSCs and the therapeutic intervention of N-induced cancers.
28520736	FBgn0262451	BANTAM	Stem cells are functional units in the development, maintenance, and regeneration of tissues in multicellular organisms. Defects in stem cell regulation can compromise tissue homeostasis and result in proliferative or degenerative diseases. Our understanding of the molecular and cellular mechanisms regulating the in vivo behavior of stem cells is still incomplete. The Drosophila central nervous system neural stem cells called neuroblasts have offered an excellent model system for uncovering key mechanisms and player involved in stem cell regulation. Previous genetic studies have uncovered the evolutionarily conserved Numb-N signaling pathway that regulates the self-renewal vs. differentiation choices of the cell fates of NSCs during their asymmetric division. Our understanding of how Numb-N signaling regulates NSC fate is still rudimentary. Recent studies have implicated the involvement of microRNAs in stem cell regulation in both mammalian and Drosophila systems. But the molecular mechanism and logic of miRNA action remain to be delineated. In this study we show that the bantam microRNA is a direct transcriptional target of the N signaling pathway, and that bantam feedback regulates N by negatively regulating the expression of Numb, an inhibitor of N. This feedback regulation of N helps maintain the robustness of NSC fate. We further show that bantam also impinges on a Numb-Myc axis of cell growth regulation, apparently in a N-independent manner. Together, our results highlight the importance of both transcriptional and translational control mechanisms in NSC regulation by the N signaling network. These findings have important implication for our understanding of the basic biology of NSCs and the therapeutic intervention of N-induced cancers.
28520736	FBgn0039016	DCR-1|DICER-1	To identify new players in the N signaling network important for NSC and CSC-like growth, we tested the microRNA pathway. In the fly larval central brain, N signaling is normally required for the maintenance of type II but not type I NBs, and N hyperactivation results in the formation of CSC-like NB within the type II but not type I NB lineages [6–8]. We used clonal overexpression (OE) of N intracellular domain (N-intra), an activated form of N, to induce ectopic formation and overproliferation of type II NBs and ensuing tumorous brain growth (Fig 1A and 1B). Inactivation of Dicer-1 (Dcr-1), a key component of the miRNA pathway [16], effectively rescued N-intra induced ectopic NB formation and tumorous growth, supporting a critical role for miRNA in N-regulated NSC lineage homeostasis (Fig 1A and 1B). Given the role of ban miRNA in controlling tissue growth, cell proliferation, and survival [17, 18], we tested its involvement in NSC regulation by N. Loss of ban function as in banΔ1 null mutant had similar effect as dcr-1 mutation in rescuing N-intra induced ectopic NB formation (Fig 1A and 1B), implicating ban as a key miRNA influencing NB homeostasis. To further confirm these results, we used a transgene overexpressing ban-sponge (ban-sp), which could effectively interfere with ban function [19]. CSC-like ectopic NB proliferation induced by OE of N [7, 9] was partially blocked by ban-sp (Fig 1C and 1D). Conversely, ban OE enhanced the N OE effect (S1 Fig). Overexpression of Dpn, a putative effector of the N pathway in NBs, caused the formation of CSC-like NB within the type II but not type I NB lineages [20, 21]. NB overproliferation caused by Dpn-OE was also attenuated by ban-sp (Fig 1E and 1F). Intriguingly, in banΔ1 mutant type II NB clones without N OE, the parental NBs were preserved (Figs 2A and S2E), suggesting that ban is not essential for NB formation or maintenance under normal condition. The number of IPs, however, is reduced in banΔ1 mutant type II NB clones (S2F Fig). These results are consistent with a recent report [18], which showed that both type I and type II NBs are reduced in ban mutant brains. However, in clonal analysis, each ban mutant clone still contains a NB with appropriate marker expression, albeit with reduced cell size [18]. These results suggest that ban may act cell autonomously to regulate NB cell size, but its effect on NB number may be mediated by a non-autonomous mechanism. Together, these results suggest that ban is preferentially required for the formation and proliferation of CSC-like cells induced by N pathway hyperactivation.
28520736	FBgn0002973	NUMB	We further examined the biochemical relationship between Numb and Myc underlying their functional interaction in ban-regulated nucleolar growth. In mammalian HEK293 cells, Numb and c-Myc exhibited physical interaction (Fig 4C). Overexpression of Numb led to reduced level of endogenous cMyc (Fig 4D and 4E), an effect abolished by treatment with the proteasome inhibitor MG132 (Fig 4F and 4G), suggesting that Numb affects Myc protein level through the ubiquitin-proteosome system (UPS). We have also examined Myc levels in Drosophila larval brain NBs with altered Numb activities. We found that dMyc level is increased when Numb is inhibited by RNAi, and decreased when Numb is overexpressed. This is true for both endogenous dMyc (S7A) or overexpressed dMyc (S7B). We have also tried to examine the effect of altered ban activities on dMyc expression. The immunostaining did not reveal consistent clear-cut results as seen in Numb manipulation case, probably because ban acts through Numb to indirectly affect dMyc expression, making its effect on dMyc protein level not as robust as Numb. However, when we examined the effect of altered ban activity on endogenous dMyc expression by western blot analysis of brain extracts, we saw increased dMyc protein level in ban GOF condition and reduced dMyc level in ban LOF condition (S7C Fig).
28520736	FBgn0262656	DMYC|C-MYC|CMYC	We further examined the biochemical relationship between Numb and Myc underlying their functional interaction in ban-regulated nucleolar growth. In mammalian HEK293 cells, Numb and c-Myc exhibited physical interaction (Fig 4C). Overexpression of Numb led to reduced level of endogenous cMyc (Fig 4D and 4E), an effect abolished by treatment with the proteasome inhibitor MG132 (Fig 4F and 4G), suggesting that Numb affects Myc protein level through the ubiquitin-proteosome system (UPS). We have also examined Myc levels in Drosophila larval brain NBs with altered Numb activities. We found that dMyc level is increased when Numb is inhibited by RNAi, and decreased when Numb is overexpressed. This is true for both endogenous dMyc (S7A) or overexpressed dMyc (S7B). We have also tried to examine the effect of altered ban activities on dMyc expression. The immunostaining did not reveal consistent clear-cut results as seen in Numb manipulation case, probably because ban acts through Numb to indirectly affect dMyc expression, making its effect on dMyc protein level not as robust as Numb. However, when we examined the effect of altered ban activity on endogenous dMyc expression by western blot analysis of brain extracts, we saw increased dMyc protein level in ban GOF condition and reduced dMyc level in ban LOF condition (S7C Fig).
28520736	FBgn0002973	NUMB	Previous studies showed that OE of a phospho-mimetic form of Numb (Numb-TS4D) caused ectopic NB formation and tumorous brain growth, an effect likely reflecting a dominant-negative effect of Numb-TS4D in inhibiting endogenous Numb, as co-expression of Numb-WT completely rescued the Numb-TS4D effect [27]. We found that the Numb-TS4D effect was also rescued by ban-sp (Fig 4H and 4I), presumably due to elevation of the level of endogenous Numb by ban-sp that counteracted Numb-TS4D action. In contrast, co-overexpression of ban using UAS-ban-D did not change Numb-TS4D effect (Fig 4H and 4I), presumably because endogenous Numb activity has been sufficiently inhibited by Numb-TS4D such that its further translational repression by ban-D OE will not have additional phenotypic effect.
24945799	FBgn0086680	VVL|VENTRAL VEINS LACKING	Specialized endocrine cells produce and release steroid hormones that govern development, metabolism and reproduction. In order to synthesize steroids, all the genes in the biosynthetic pathway must be coordinately turned on in steroidogenic cells. In Drosophila, the steroid producing endocrine cells are located in the prothoracic gland (PG) that releases the steroid hormone ecdysone. The transcriptional regulatory network that specifies the unique PG specific expression pattern of the ecdysone biosynthetic genes remains unknown. Here, we show that two transcription factors, the POU-domain Ventral veins lacking (Vvl) and the nuclear receptor Knirps (Kni), have essential roles in the PG during larval development. Vvl is highly expressed in the PG during embryogenesis and is enriched in the gland during larval development, suggesting that Vvl might function as a master transcriptional regulator in this tissue. Vvl and Kni bind to PG specific cis-regulatory elements that are required for expression of the ecdysone biosynthetic genes. Knock down of either vvl or kni in the PG results in a larval developmental arrest due to failure in ecdysone production. Furthermore, Vvl and Kni are also required for maintenance of TOR/S6K and prothoracicotropic hormone (PTTH) signaling in the PG, two major pathways that control ecdysone biosynthesis and PG cell growth. We also show that the transcriptional regulator, Molting defective (Mld), controls early biosynthetic pathway steps. Our data show that Vvl and Kni directly regulate ecdysone biosynthesis by transcriptional control of biosynthetic gene expression and indirectly by affecting PTTH and TOR/S6K signaling. This provides new insight into the regulatory network of transcription factors involved in the coordinated regulation of steroidogenic cell specific transcription, and identifies a new function of Vvl and Knirps in endocrine cells during post-embryonic development.
24945799	FBgn0001320	KNI|KNIRPS	Specialized endocrine cells produce and release steroid hormones that govern development, metabolism and reproduction. In order to synthesize steroids, all the genes in the biosynthetic pathway must be coordinately turned on in steroidogenic cells. In Drosophila, the steroid producing endocrine cells are located in the prothoracic gland (PG) that releases the steroid hormone ecdysone. The transcriptional regulatory network that specifies the unique PG specific expression pattern of the ecdysone biosynthetic genes remains unknown. Here, we show that two transcription factors, the POU-domain Ventral veins lacking (Vvl) and the nuclear receptor Knirps (Kni), have essential roles in the PG during larval development. Vvl is highly expressed in the PG during embryogenesis and is enriched in the gland during larval development, suggesting that Vvl might function as a master transcriptional regulator in this tissue. Vvl and Kni bind to PG specific cis-regulatory elements that are required for expression of the ecdysone biosynthetic genes. Knock down of either vvl or kni in the PG results in a larval developmental arrest due to failure in ecdysone production. Furthermore, Vvl and Kni are also required for maintenance of TOR/S6K and prothoracicotropic hormone (PTTH) signaling in the PG, two major pathways that control ecdysone biosynthesis and PG cell growth. We also show that the transcriptional regulator, Molting defective (Mld), controls early biosynthetic pathway steps. Our data show that Vvl and Kni directly regulate ecdysone biosynthesis by transcriptional control of biosynthetic gene expression and indirectly by affecting PTTH and TOR/S6K signaling. This provides new insight into the regulatory network of transcription factors involved in the coordinated regulation of steroidogenic cell specific transcription, and identifies a new function of Vvl and Knirps in endocrine cells during post-embryonic development.
24945799	FBgn0263490	MLD|MOLTING DEFECTIVE|MOLTING	Specialized endocrine cells produce and release steroid hormones that govern development, metabolism and reproduction. In order to synthesize steroids, all the genes in the biosynthetic pathway must be coordinately turned on in steroidogenic cells. In Drosophila, the steroid producing endocrine cells are located in the prothoracic gland (PG) that releases the steroid hormone ecdysone. The transcriptional regulatory network that specifies the unique PG specific expression pattern of the ecdysone biosynthetic genes remains unknown. Here, we show that two transcription factors, the POU-domain Ventral veins lacking (Vvl) and the nuclear receptor Knirps (Kni), have essential roles in the PG during larval development. Vvl is highly expressed in the PG during embryogenesis and is enriched in the gland during larval development, suggesting that Vvl might function as a master transcriptional regulator in this tissue. Vvl and Kni bind to PG specific cis-regulatory elements that are required for expression of the ecdysone biosynthetic genes. Knock down of either vvl or kni in the PG results in a larval developmental arrest due to failure in ecdysone production. Furthermore, Vvl and Kni are also required for maintenance of TOR/S6K and prothoracicotropic hormone (PTTH) signaling in the PG, two major pathways that control ecdysone biosynthesis and PG cell growth. We also show that the transcriptional regulator, Molting defective (Mld), controls early biosynthetic pathway steps. Our data show that Vvl and Kni directly regulate ecdysone biosynthesis by transcriptional control of biosynthetic gene expression and indirectly by affecting PTTH and TOR/S6K signaling. This provides new insight into the regulatory network of transcription factors involved in the coordinated regulation of steroidogenic cell specific transcription, and identifies a new function of Vvl and Knirps in endocrine cells during post-embryonic development.
24945799	FBgn0086680	VVL|VENTRAL VEINS LACKING	Steroid hormones play important roles in physiology and disease. These hormones are molecules produced and secreted by endocrine cells in the body and control sexual maturation, metabolism and reproduction. We found transcriptional regulators that underlie the specialized function of endocrine steroid-producing cells. In the steroid-producing cells of the fruit fly Drosophila, Ventral veins lacking (Vvl) and Knirps (Kni) turn on all the genes required for steroid production. When Vvl or Kni were inactivated in the cells where the hormone is made, the genes involved in steroid production were not activated. Because of the reduced steroid production, the juvenile larvae failed to develop and undergo maturation to adulthood. Inactivation of Vvl and Kni also reduces endocrine cell growth by disturbing their response to growth promoting signals. Genetic variations in humans with the loss of a homolog of Vvl have been associated with disorders caused by insufficient steroid production. Together with the fact that Vvl is highly expressed in the steroid-producing cells of Drosophila, this suggests that Vvl may be a conserved master regulator of steroid production. Our findings provide insight into the network of factors that control endocrine cell function and steroid hormone levels that could have implication for human diseases.
