Pmid	Fbid	Synonym	Paragraph
28520736	FBgn0262451	BANTAM	In this study we set out to examine the role of the bantam (ban) microRNA in the regulation of NB homeostasis in the Drosophila brain. We show that ban is a direct transcriptional target of the N signaling pathway, and that ban feedback regulates N through negative regulation of its target mRNA numb, which encodes an inhibitor of N. We show that this feedback regulation of N helps maintain the robustness of NB cell fate. Our results further show that ban also impinges on a Numb-Myc axis of cell growth regulation, apparently in a N-independent manner, thus revealing novel mechanisms in NSC regulation by the N signaling network. These findings have important implications for both the basic biology of NSCs and the therapeutic intervention of cancers caused by deregulated Numb-N signaling.
28520736	FBgn0002973	NUMB	We next sought to identify the target of ban that participates in the regulatory network underlying NB fate determination. Although numb 3'-UTR has been reported to contain two predicted ban binding sites [18], the ban binding site(s) responsible for numb translational repression remains to be determined. Using the RNAHybrid program [25] for miRNA target prediction, we identified several candidate ban-binding sites in Drosophila numb mRNA 3´-UTR as well as CDS (S5A Fig). In translational reporter assays, the addition of numb 3´-UTR made the translation of the luciferase reporter specifically sensitive to the presence of ban but not let-7 miRNA (Fig 4A). Mutating the seed sequence in a best-predicted ban-binding site in numb 3´-UTR, which is distinct from the two predicted sites reported previously [18], abolished the sensitivity of the reporter to ban (Figs 4A and S5B). These results suggest that numb mRNA is a potential target of ban. To gather in vivo evidence of ban regulation of numb, we first examined the effect of ban LOF and GOF on endogenous Numb expression. Western blot and qRT-PCR analyses showed that in banΔ1 mutant or when ban-sp was ubiquitously expressed, levels of Numb protein (Fig 4B) and mRNA (S5C Fig) expression were significantly increased in the brain, whereas ban OE led to a moderate reduction of Numb protein and mRNA levels (Figs 4B and S5C).
28520736	FBgn0002973	NUMB	We next examined the in vivo functional relationship between ban and numb in NB regulation. Knockdown of numb by RNAi in type II NB lineages resulted in enlarged nucleolar size in newly born IPs, and numb RNAi rescued the nucleolar size reduction caused by ban-sp OE (Fig 2D and 2E). Importantly, the nucleolar size increase caused by numb RNAi was Myc-dependent (Fig 2D and 2E; S6A–S6C Fig), as in ban OE case (Fig 2A and 2C). These results support the notion that Numb is a key target mediating the effect of ban on nucleolar growth.
28520736	FBgn0030674	HUWE1	Numb has previously been shown to regulate transcription factor stability by stimulating E3 ligase activity [26]. We found that the effect of Numb in promoting Myc degradation was attenuated by knocking down Huwe1 in HEK293 cells (S7D and S7E Fig). In fly larval brain, Huwe1 RNAi resulted in increased nucleolar sizes of NBs and IPs in type II NB lineages in a Myc-dependent manner (S8A–S8C Fig). Moreover, Huwe1 functionally interacted with Numb and Myc to regulate type II NB maintenance, as indicated by the ability of Huwe1 RNAi to facilitate Myc in rescuing the type II NB loss caused by Numb OE (S8D and S8E Fig).
28520736	FBgn0002973	NUMB	To examine the effect of ban on Numb protein expression specifically in NBs, we first examined Numb protein expression in the NBs in ban LOF and GOF FLP-out clones. Our results showed that Numb expression level change in the NBs displays similar trends as detected by the western blot analysis of brain tissues (S9A and S9B Fig), although the difference did not achieve statistical significance. This may be due to the sensitivity of the immunostaining method, the specificity of the antibody, or the relatively high basal expression of Numb in the otherwise wild type NBs. Consistent with the last scenario, when we examined Numb expression in N-V5 overexpression NBs that have lower basal level of Numb, the effect of ban-sp in elevating endogenous Numb expression became more significant (S10A and S10B Fig). This result further supports the notion that the translation of numb mRNA is regulated by ban in vivo.
28520736	FBgn0262656	DMYC	To further test for a critical role of Numb in mediating the effects of ban on N activity and CSC-like growth, we performed genetic epistasis experiments. First, we found that the effect of ban inhibition by ban-sp in attenuating N activity was mediated by Numb, as numb RNAi or removal of one copy of numb (Fig 5A and 5B; S11A and S11B Fig) blocked the ban-sp effect. In contrast, removal of one copy of pros or brat, two other genes that were recently identified as ban targets that regulate normal NB growth and proliferation [18], was without effect (S11A andS11C–S11E Fig). Consistently, numb RNAi or removing one copy of numb, but not pros or brat, effectively rescued the effect of ban-sp in attenuating ectopic NB formation and tumor-like growth induced by N hyperactivation (Fig 5C and 5D). In N-OE condition, numb RNAi or removing one copy of numb alone had no obvious effect on NB number (S12A and S12B Fig). Moreover, promotion of cell growth by Myc-OE, but not cell cycle progression by Cyclin E-OE, which failed to affect nucleolar growth (S12C and S12D Fig), suppressed the effect of ban-sp on ectopic NB formation and tumorous growth (Fig 5E). Consistent with Huwe1 being a negative regulator of dMyc, Huwe1 RNAi also suppressed the effect of ban-sp on ectopic NB number and tumorous growth (S12E and S12F Fig). Together, these results suggest that at least in N-induced CSC-like NB growth and proliferation, Numb is a key target that mediates the effect of ban, and cell growth conferred by the Numb-Myc axis is a key mechanism of NB homeostasis regulation by ban.
28520736	FBgn0030674	HUWE1	To further test for a critical role of Numb in mediating the effects of ban on N activity and CSC-like growth, we performed genetic epistasis experiments. First, we found that the effect of ban inhibition by ban-sp in attenuating N activity was mediated by Numb, as numb RNAi or removal of one copy of numb (Fig 5A and 5B; S11A and S11B Fig) blocked the ban-sp effect. In contrast, removal of one copy of pros or brat, two other genes that were recently identified as ban targets that regulate normal NB growth and proliferation [18], was without effect (S11A andS11C–S11E Fig). Consistently, numb RNAi or removing one copy of numb, but not pros or brat, effectively rescued the effect of ban-sp in attenuating ectopic NB formation and tumor-like growth induced by N hyperactivation (Fig 5C and 5D). In N-OE condition, numb RNAi or removing one copy of numb alone had no obvious effect on NB number (S12A and S12B Fig). Moreover, promotion of cell growth by Myc-OE, but not cell cycle progression by Cyclin E-OE, which failed to affect nucleolar growth (S12C and S12D Fig), suppressed the effect of ban-sp on ectopic NB formation and tumorous growth (Fig 5E). Consistent with Huwe1 being a negative regulator of dMyc, Huwe1 RNAi also suppressed the effect of ban-sp on ectopic NB number and tumorous growth (S12E and S12F Fig). Together, these results suggest that at least in N-induced CSC-like NB growth and proliferation, Numb is a key target that mediates the effect of ban, and cell growth conferred by the Numb-Myc axis is a key mechanism of NB homeostasis regulation by ban.
28520736	FBgn0002973	NUMB	Our results emphasize the critical role of translational control mechanisms in NSCs and CSC-like NSCs. Compared to the heavily studied transcriptional control, our knowledge of the translational control of NSCs and CSCs is rather limited. As fundamental regulators of mRNA translation, miRNAs can interact with both positive and negative regulators of translation to influence gene expression [36, 37]. Thus, miRNA activity can be regulated context-dependently at both the transcriptional and translational levels, which may account for the opposite effect of N on ban activity in the fly brain and wing disc [38], although the ban genomic locus is bound by Su(H) in both tissues. Whether N regulates the transcription of ban or its activity as a translational repressor in the wing disc remains to be tested. With regard to the translation of numb mRNA, the conserved RNA-binding protein (RNA-BP) Musashi [39] has been shown to critically regulate the level of Numb protein in mammalian hematopoietic SCs and leukemia SCs [40, 41]. Further investigation into the potential interplay between miRNAs and RNA-BPs in the translational control of Numb in NBs and CSC-like NBs promises to reveal new mechanisms and logic in stem cell homeostasis regulation, with important implications for stem cell biology and cancer biology.
24945799	FBgn0000449	DIB	We recently characterized cis-regulatory elements required for the expression of phm and dib in the Drosophila PG [20], including a 69 bp promoter element located in the upstream phm region and a 86 bp region in the third intron of dib. These elements are important for the temporal up-regulation of phm and dib by Br isoform 4 (Br-Z4) that increases the ecdysteroidogenic capacity of the PG and allows the production of the high-level ecdysone pulse that triggers pupariation. To further characterize the tissue-specific regulation of the ecdysone biosynthetic pathway, we analyzed PG specific regulatory elements for the presence of transcription factor binding sites.
24945799	FBgn0000449	DIB	Here, we report a novel role for Ventral veins lacking (Vvl) and Knirps (Kni) in regulating ecdysteroidogenesis in Drosophila. The cis-regulatory elements responsible for PG specific expression of spok, phm and dib contain conserved Vvl and Kni binding sites. Expression of vvl is high in the PG compared to the whole animal, while kni expression is less PG-specific. Knock down of vvl and kni in the PG results in larval developmental arrest due to impaired ecdysone production. We show that Vvl and Kni specifically regulate expression of all the ecdysone biosynthetic enzymes through functionally important regulatory sites. Furthermore, we find that Molting defective (Mld) specifically regulates enzymes that catalyze early steps in the ecdysone biosynthetic pathway. Our study identifies Vvl as a PG cell-specific transcription factor that underlies steroidogenic cell function. We conclude that Vvl and Kni are involved in the transcriptional regulatory network of the PG that coordinates expression of biosynthetic enzymes required for ecdysone production during Drosophila development.
